Product,Company,Category,Units Sold,Revenue,Cost of Goods Sold,Profit,Purchase Date,Customer Name,Customer State,Customer City,Customer Zip Code,Order ID
Wine,Coca-Cola,Alcoholic,909,5479,1858,3621,9/17/2020,Justin Arnold,New York,Curtischester,8882,1-77604-581-5
Black Tea,Pepsi,Tea,255,6902,7610,-708,9/7/2020,Erica Wolf,Idaho,Morganburgh,8944,0-333-13749-3
Beer,Coca-Cola,Alcoholic,231,2494,7494,-5000,3/16/2021,Charles Ward,Rhode Island,Summersfurt,50736,1-01-947990-6
Energy Drink,Dr. Pepper,Soft Drink,830,4057,2975,1082,4/21/2022,Kelly Williamson,Connecticut,Thomasmouth,98912,1-79404-233-4
Vodka,Pepsi,Alcoholic,512,3750,1388,2362,9/30/2022,Amanda Cardenas,Iowa,East Kayla,79233,1-181-22404-7
Cola,Dr. Pepper,Soft Drink,519,8114,1608,6506,6/17/2021,Nicole Austin,New Mexico,New Tabitha,30195,1-61734-702-7
Vodka,Pepsi,Alcoholic,434,4544,3555,989,3/5/2020,Jonathan Sawyer,Colorado,West Gregory,97381,1-81403-406-4
Cola,Coca-Cola,Soft Drink,942,9350,1382,7968,7/26/2022,Howard Roberts,Wyoming,North Linda,28875,0-7002-7456-1
Green Tea,Coca-Cola,Tea,590,7767,4381,3386,10/15/2020,Jaime Thompson,Rhode Island,West Shirley,71892,1-5058-0558-9
Black Tea,Pepsi,Tea,110,2426,6427,-4001,12/3/2020,Jeffrey Stone,Minnesota,Johnsonborough,32163,0-9616311-9-8
Herbal Tea,Dr. Pepper,Tea,688,9876,5014,4862,3/22/2020,Dr. Darren Barr,Kentucky,South Priscilla,73020,0-10-777579-4
Energy Drink,Pepsi,Soft Drink,466,8891,2459,6432,12/22/2021,Edward Jefferson,Texas,New Christian,70148,1-183-63539-7
Wine,Dr. Pepper,Alcoholic,784,2135,4394,-2259,9/8/2021,Anita Hudson,Mississippi,Ronaldmouth,19817,0-485-12147-6
Wine,Coca-Cola,Alcoholic,484,8311,3113,5198,7/9/2023,Sara Thompson,Iowa,Sanchezchester,15975,1-76029-495-0
Wine,Pepsi,Alcoholic,901,3819,7130,-3311,7/22/2021,William Joseph,Colorado,Brittanyview,2874,0-493-29223-3
Black Tea,Dr. Pepper,Tea,160,7770,2679,5091,8/23/2020,Amy Kramer,Hawaii,Christinafort,37707,1-5336-4057-2
Energy Drink,Pepsi,Soft Drink,339,1478,3100,-1622,8/31/2020,Jesus Williams,Maine,Port Heatherburgh,81604,1-4196-1290-5
Cola,Pepsi,Soft Drink,834,4723,4383,340,12/8/2020,Nichole Fleming,Nebraska,East Stephen,29730,0-410-19574-X
Cola,Coca-Cola,Soft Drink,431,7666,5486,2180,3/23/2021,Justin Moore,Nevada,West Amy,21052,1-76107-883-6
Coffee,Coca-Cola,Coffee,346,6352,7807,-1455,4/4/2021,Jennifer Butler,North Dakota,North Michele,83793,1-86597-876-0
Energy Drink,Dr. Pepper,Soft Drink,415,1362,3952,-2590,7/5/2020,Charles Farrell,Michigan,Beltranmouth,4977,1-968751-98-X
Cola,Pepsi,Soft Drink,231,4556,1359,3197,12/10/2021,Robert Salas,Colorado,South Derrick,71009,1-74325-520-9
Energy Drink,Pepsi,Soft Drink,697,2881,1180,1701,10/3/2020,Glenda Smith,South Carolina,New Jasonberg,58509,1-172-53848-4
Cola,Pepsi,Soft Drink,599,8244,6518,1726,8/31/2021,Kayla Brooks,Montana,West April,99560,0-208-09832-1
Cola,Coca-Cola,Soft Drink,577,4690,5384,-694,9/14/2020,Dominique Rodriguez,Maryland,Amberberg,82458,1-55109-407-X
Green Tea,Dr. Pepper,Tea,545,6277,3201,3076,9/14/2020,Joseph King,Connecticut,Charlesshire,29417,0-271-65701-4
Wine,Pepsi,Alcoholic,512,8928,2231,6697,6/27/2023,Taylor Hicks DVM,Tennessee,Smithton,89251,0-7870-9724-1
Herbal Tea,Dr. Pepper,Tea,918,1001,1218,-217,1/7/2023,Elizabeth Kim,Wisconsin,Port Brittany,67355,0-414-08904-9
Beer,Pepsi,Alcoholic,137,6623,1380,5243,2/7/2022,Melissa Alexander,Arizona,Karlaburgh,34985,0-8465-5848-3
Green Tea,Dr. Pepper,Tea,555,2445,1656,789,1/24/2023,Robert Weaver,New Hampshire,Gailfurt,78399,1-5199-0999-3
Lemonade,Coca-Cola,Soft Drink,183,9760,4866,4894,12/9/2021,Courtney Williams,Texas,West Charles,68080,1-347-13064-0
Beer,Pepsi,Alcoholic,350,6617,5100,1517,4/28/2021,Yolanda Williams,Virginia,West Mary,57630,0-7257-1739-4
Herbal Tea,Coca-Cola,Tea,224,5549,703,4846,6/2/2022,Bethany Hale,Tennessee,Matthewfurt,28734,1-63124-884-7
Beer,Dr. Pepper,Alcoholic,588,7391,3781,3610,2/9/2021,Don Shea,Mississippi,Zacharyshire,56192,0-490-29707-2
Green Tea,Pepsi,Tea,878,5173,7575,-2402,7/2/2020,Jessica Hart,New Jersey,Lake Jessicachester,65650,1-02-601789-0
Beer,Coca-Cola,Alcoholic,285,3051,5727,-2676,6/2/2020,Tiffany Freeman,Nevada,Lisatown,89616,1-953767-60-5
Beer,Dr. Pepper,Alcoholic,577,6399,6474,-75,3/31/2021,Warren Burton,Missouri,Port Lauren,46928,1-899790-64-0
Beer,Coca-Cola,Alcoholic,581,6310,6526,-216,8/23/2020,Kenneth Horn,Nevada,Tinamouth,30100,0-662-34240-2
Beer,Pepsi,Alcoholic,245,1198,6691,-5493,6/3/2020,Ricky Todd,Massachusetts,East Alexander,51364,1-03-288037-6
Coffee,Dr. Pepper,Coffee,673,9006,6925,2081,3/28/2022,Emily Parker,Illinois,Amyfurt,89199,1-7385839-1-0
Black Tea,Pepsi,Tea,766,5249,6587,-1338,1/4/2021,Tara Mitchell,Virginia,Rogersbury,4429,1-4739-4475-9
Green Tea,Dr. Pepper,Tea,209,6976,7508,-532,6/29/2023,Tiffany Wiggins,New Mexico,South Jessica,66244,0-8128-0797-9
Green Tea,Pepsi,Tea,615,8113,6851,1262,2/18/2022,Joyce Perez,North Dakota,Port Theresaland,19455,1-03-348514-4
Green Tea,Coca-Cola,Tea,796,3995,4105,-110,7/15/2023,Clarence Ortiz,Hawaii,Williamview,51450,1-992643-19-9
Wine,Coca-Cola,Alcoholic,804,5288,4816,472,1/29/2020,Elizabeth Leach,Iowa,Lake Joseville,6192,0-623-65380-X
Lemonade,Dr. Pepper,Soft Drink,174,8991,5168,3823,6/4/2021,Kevin Johnson,Montana,East Danielle,1310,1-68689-583-6
Beer,Coca-Cola,Alcoholic,324,5100,6260,-1160,3/12/2020,Manuel Johnson,New Hampshire,West Michael,50294,1-933794-01-1
Wine,Coca-Cola,Alcoholic,373,5633,6440,-807,3/26/2020,Kelly West,Alaska,East Kathleenmouth,84323,1-01-257474-1
Vodka,Pepsi,Alcoholic,642,4220,1869,2351,12/11/2022,John Chandler,Washington,Michaelborough,84667,1-04-555559-2
Wine,Pepsi,Alcoholic,799,2423,6603,-4180,9/21/2022,Michael Ramirez,Kansas,Codymouth,26505,1-55388-872-3
Cola,Pepsi,Soft Drink,923,3603,1725,1878,9/7/2021,Christopher Barajas,Iowa,Princeborough,96800,0-694-50369-X
Vodka,Pepsi,Alcoholic,147,1739,3240,-1501,2/6/2022,Dennis Sanchez,Louisiana,Penningtonville,59420,0-223-47234-4
Cola,Coca-Cola,Soft Drink,737,4355,4854,-499,3/23/2022,Kyle Schmidt,Washington,New Joseph,67363,0-598-22671-0
Energy Drink,Dr. Pepper,Soft Drink,335,1916,7378,-5462,12/29/2020,Jeremy Peters,Ohio,New Matthewchester,85794,0-436-02395-4
Cola,Dr. Pepper,Soft Drink,591,3613,5535,-1922,6/10/2022,Julie Carrillo,Idaho,Andrewbury,5339,1-4096-6142-3
Green Tea,Coca-Cola,Tea,567,1970,1149,821,9/11/2021,Miguel Allen,Delaware,Escobarmouth,20011,0-336-60400-9
Vodka,Dr. Pepper,Alcoholic,854,7641,3370,4271,1/20/2020,Bradley Cain,South Dakota,East Jessica,50797,1-84500-864-2
Cola,Pepsi,Soft Drink,236,9143,516,8627,12/28/2022,Kevin Dominguez,Arkansas,Loriborough,94233,1-01-135309-1
Herbal Tea,Coca-Cola,Tea,284,3923,4282,-359,1/17/2022,Alexander Mullins,Nebraska,North Teresaview,83337,1-118-22855-3
Herbal Tea,Coca-Cola,Tea,509,4501,5284,-783,7/23/2022,Sabrina Campbell,Arkansas,South Tyler,50933,0-8063-9221-5
Green Tea,Dr. Pepper,Tea,855,8339,3540,4799,2/2/2023,Carolyn Williams,Tennessee,West Douglasside,36925,0-386-00677-6
Green Tea,Pepsi,Tea,369,5555,7770,-2215,8/2/2020,Leslie Valdez,Indiana,New Michael,73115,0-327-61024-7
Energy Drink,Dr. Pepper,Soft Drink,434,1955,1011,944,7/22/2023,Kimberly Lopez,Maryland,Port Anthony,8854,1-387-74940-4
Lemonade,Coca-Cola,Soft Drink,456,7574,564,7010,12/1/2022,Shelly Kim,Maryland,Beckville,48101,0-658-70806-6
Vodka,Coca-Cola,Alcoholic,334,6265,7339,-1074,6/26/2022,Daniel Harper,South Dakota,Kathystad,30798,1-989143-21-0
Green Tea,Pepsi,Tea,359,3675,2650,1025,9/5/2022,Christina Luna,New Mexico,Carrollchester,6357,1-902331-68-0
Black Tea,Pepsi,Tea,167,1627,3602,-1975,3/31/2023,Molly Carr,Illinois,South Shawnmouth,55544,0-935474-04-8
Beer,Pepsi,Alcoholic,325,1098,5657,-4559,1/16/2021,Thomas Wagner,Kentucky,Garrettview,81619,1-4576-9821-8
Vodka,Dr. Pepper,Alcoholic,934,2437,769,1668,5/17/2020,Bradley Lopez,Mississippi,Lucashaven,82946,0-13-217481-2
Herbal Tea,Dr. Pepper,Tea,531,3456,5679,-2223,11/7/2020,Stacy Davis,New Mexico,West Janiceview,85378,0-87909-310-2
Lemonade,Dr. Pepper,Soft Drink,213,6896,3473,3423,8/26/2022,Shelly Sanford,Oklahoma,Stanleyland,58186,0-406-39790-2
Green Tea,Coca-Cola,Tea,124,5904,2654,3250,2/6/2022,Timothy Harvey,Massachusetts,Lake Theresaberg,61687,1-4187-8119-3
Herbal Tea,Coca-Cola,Tea,282,7462,6228,1234,3/12/2020,Rebecca Perkins,South Carolina,Lake Jeanland,99869,0-11-801092-1
Vodka,Coca-Cola,Alcoholic,195,4791,4292,499,5/31/2023,Rachel Rivera,Louisiana,Amymouth,65691,0-313-97016-5
Energy Drink,Dr. Pepper,Soft Drink,821,2609,2816,-207,1/15/2023,Joseph Giles,Delaware,North Evelyn,20005,0-209-00595-5
Lemonade,Coca-Cola,Soft Drink,732,1987,6946,-4959,1/6/2022,Justin Allen,Alabama,Millerland,5422,0-336-32504-5
Wine,Pepsi,Alcoholic,574,1310,1287,23,8/10/2022,Cameron Mcgee,Vermont,Michaelmouth,5441,0-210-51742-5
Wine,Dr. Pepper,Alcoholic,771,3902,7670,-3768,5/24/2020,Michael Long,Nebraska,Port Jason,99716,0-87355-397-7
Black Tea,Pepsi,Tea,697,8287,985,7302,8/17/2020,Danielle Lee,South Carolina,Port Tammy,51279,1-4226-4781-1
Energy Drink,Pepsi,Soft Drink,796,5936,1191,4745,1/16/2023,Nathan Braun,Utah,Garrettview,21109,0-692-31361-3
Wine,Coca-Cola,Alcoholic,962,1854,3394,-1540,1/30/2022,Bruce James,New Mexico,North Jasonport,96841,0-16-773737-6
Cola,Coca-Cola,Soft Drink,984,3494,4032,-538,7/9/2021,Mark Wood,New Jersey,Lake Rachel,76589,1-321-17539-6
Herbal Tea,Coca-Cola,Tea,373,5076,3597,1479,6/6/2022,Andrew Lane,Rhode Island,South Omarchester,73100,0-678-81213-6
Vodka,Coca-Cola,Alcoholic,596,2555,1898,657,1/10/2021,Tyler Mckinney,Alaska,Gardnerberg,54986,0-555-70974-4
Black Tea,Dr. Pepper,Tea,721,9220,769,8451,6/19/2022,Steven Young,Oklahoma,North Jimmyfort,39739,0-9792487-4-4
Wine,Dr. Pepper,Alcoholic,406,4348,1978,2370,7/12/2021,Hunter Hernandez MD,Illinois,Lake Patricia,3783,0-640-11891-7
Lemonade,Coca-Cola,Soft Drink,344,6011,3676,2335,11/10/2021,Hannah Cooper,Georgia,Jefferyhaven,58087,0-89879-713-6
Black Tea,Coca-Cola,Tea,295,2579,718,1861,12/19/2022,Gloria Shields,Colorado,West Jacob,87077,0-417-47166-1
Energy Drink,Dr. Pepper,Soft Drink,796,6019,6520,-501,12/23/2020,Heather Davis,South Carolina,North Chadshire,30746,1-72562-748-5
Black Tea,Coca-Cola,Tea,417,2834,2517,317,2/3/2020,James Jordan,South Carolina,Michaelbury,37011,1-371-17159-9
Energy Drink,Pepsi,Soft Drink,395,2165,4397,-2232,11/19/2022,Melissa Davis,Massachusetts,Lake Deanna,29490,1-134-97374-8
Lemonade,Dr. Pepper,Soft Drink,334,2056,892,1164,8/23/2022,Kenneth Rogers,New Jersey,Lake Dana,25506,0-8216-0863-0
Black Tea,Coca-Cola,Tea,321,7804,2776,5028,2/18/2020,Robert Howard,Alaska,West Rebeccabury,82808,1-922639-50-8
Vodka,Dr. Pepper,Alcoholic,162,3607,2751,856,4/10/2021,Miranda Vaughn,Maine,West Ronaldberg,33971,1-879104-62-8
Green Tea,Dr. Pepper,Tea,733,6716,3428,3288,5/17/2020,Matthew Thomas,Hawaii,North Danielle,15735,1-59822-291-0
Beer,Pepsi,Alcoholic,526,5874,2717,3157,2/23/2020,Ariel Morrison,Minnesota,Tonyafurt,99845,0-273-75793-8
Cola,Pepsi,Soft Drink,948,6582,1917,4665,9/12/2020,Megan Phillips,Iowa,Port Tracy,6100,0-599-76625-5
Black Tea,Coca-Cola,Tea,371,5976,2890,3086,10/6/2021,Ivan Smith,North Carolina,Katietown,48332,0-378-23731-4
Cola,Coca-Cola,Soft Drink,141,5715,2989,2726,5/23/2021,James Farmer,Iowa,Lake Sharon,68048,0-396-23657-X
Cola,Dr. Pepper,Soft Drink,426,2489,1271,1218,11/1/2021,Mark Ferguson,Maryland,Greenebury,73091,1-932341-01-3
Vodka,Pepsi,Alcoholic,163,7688,2124,5564,6/19/2021,Kimberly Sanchez,Arkansas,Lake Erica,70416,0-911899-28-6
Lemonade,Pepsi,Soft Drink,934,6022,2334,3688,4/28/2022,Megan Wheeler,Connecticut,Kellyside,1361,1-871581-58-3
Lemonade,Coca-Cola,Soft Drink,495,4340,1039,3301,7/30/2021,Tina Nelson,Rhode Island,New Jeffreyshire,43884,0-7637-4413-1
Wine,Pepsi,Alcoholic,648,9631,2631,7000,11/15/2022,Elizabeth Cox,Hawaii,Brendastad,31989,0-13-703823-2
Vodka,Pepsi,Alcoholic,147,1944,5721,-3777,12/18/2022,Kyle Lane,Minnesota,Jameshaven,36832,0-600-92922-1
Vodka,Coca-Cola,Alcoholic,297,5953,5749,204,6/24/2020,Andrew Morgan,Utah,Williamborough,25331,1-00-693495-2
Lemonade,Coca-Cola,Soft Drink,194,2678,1906,772,3/4/2022,Christina Frazier,Vermont,Howardmouth,72510,1-5317-1217-7
Green Tea,Dr. Pepper,Tea,478,2598,7930,-5332,6/12/2021,Jennifer Smith,Michigan,Caldwellhaven,19549,1-4357-1204-8
Energy Drink,Coca-Cola,Soft Drink,289,8836,2991,5845,5/12/2020,Brittany Howe,Georgia,Brownview,3710,0-639-24642-7
Lemonade,Coca-Cola,Soft Drink,366,1276,1498,-222,9/8/2021,James Brown,Wyoming,Youngland,83588,1-9733-1665-X
Cola,Coca-Cola,Soft Drink,796,1937,6875,-4938,8/1/2021,Kelsey Barker,Delaware,Melindaland,2938,0-9873759-8-9
Coffee,Pepsi,Coffee,263,7658,3617,4041,7/8/2020,Sean Baker,Iowa,Lake Aprilfort,26757,0-215-88235-0
Lemonade,Coca-Cola,Soft Drink,221,8102,851,7251,8/9/2020,Michael Garcia,Michigan,Port Loriborough,44539,0-9870475-5-8
Vodka,Coca-Cola,Alcoholic,384,1504,4330,-2826,12/31/2020,William Middleton,Texas,East Laurachester,96789,0-8423-3992-2
Herbal Tea,Pepsi,Tea,650,8433,4353,4080,9/29/2020,Christine Munoz,Oklahoma,Andersonport,27587,0-522-42473-2
Cola,Coca-Cola,Soft Drink,800,8301,2961,5340,4/1/2023,Rachel Adkins,West Virginia,Angelamouth,97037,0-7366-6540-4
Herbal Tea,Coca-Cola,Tea,467,3775,2538,1237,5/18/2022,Megan Chandler,Minnesota,West Ashleymouth,6318,0-227-77772-7
Black Tea,Dr. Pepper,Tea,130,2440,674,1766,5/7/2020,Barbara Sullivan,South Carolina,Donaldport,3763,1-72856-281-3
Lemonade,Dr. Pepper,Soft Drink,216,3224,7376,-4152,1/17/2021,Patrick Harding,Minnesota,Cookshire,84027,1-78695-363-3
Herbal Tea,Dr. Pepper,Tea,154,7016,4862,2154,9/17/2022,Todd Rogers,Nevada,Port Shelley,2827,0-05-948353-9
Herbal Tea,Pepsi,Tea,856,1067,7451,-6384,11/22/2022,Alison Johnson,Hawaii,Collinschester,59840,0-347-97146-6
Vodka,Dr. Pepper,Alcoholic,189,9251,877,8374,11/23/2021,Cassandra Boyer,Pennsylvania,New Adambury,46870,1-78718-121-9
Coffee,Coca-Cola,Coffee,443,2792,4608,-1816,1/28/2022,Allison Watts,New York,Lake Jeannechester,96797,1-4789-0286-8
Cola,Coca-Cola,Soft Drink,682,5800,3302,2498,8/29/2022,Leslie Flowers,Colorado,East Marymouth,2830,0-475-96483-7
Energy Drink,Dr. Pepper,Soft Drink,682,3237,2269,968,12/12/2021,Brittany Rose,Rhode Island,Port Meganville,47253,1-59256-049-0
Green Tea,Pepsi,Tea,265,4644,1177,3467,6/8/2021,Veronica Carson,Connecticut,Port Sandraborough,66795,1-281-94424-6
Energy Drink,Pepsi,Soft Drink,166,7463,541,6922,4/26/2023,Willie Davis,Minnesota,West Michael,29762,1-9797-3183-7
Green Tea,Coca-Cola,Tea,806,6495,4561,1934,4/6/2022,Tamara Strickland,South Dakota,New Brandon,20027,0-18-628593-0
Vodka,Pepsi,Alcoholic,360,7394,4509,2885,3/4/2022,Jerry Howard,Oklahoma,New Danielton,52507,0-8162-2212-6
Beer,Dr. Pepper,Alcoholic,470,8081,687,7394,1/11/2020,Diane Hill,Mississippi,Julietown,3272,0-514-72101-4
Green Tea,Pepsi,Tea,847,1855,5976,-4121,4/14/2022,Mark Garcia,Georgia,Murphybury,72704,0-07-232332-9
Lemonade,Dr. Pepper,Soft Drink,408,2032,3117,-1085,11/28/2020,Patrick Stout,Utah,Justinside,5479,0-906253-53-5
Herbal Tea,Dr. Pepper,Tea,974,6420,7175,-755,10/28/2020,Amy Bean,New Jersey,Timothyport,97325,1-7360367-7-7
Green Tea,Coca-Cola,Tea,743,3003,4878,-1875,8/30/2021,Mrs. Jill Vargas,Iowa,Lake Michael,4790,1-237-93406-0
Wine,Coca-Cola,Alcoholic,540,3390,6665,-3275,7/11/2021,Robert White,Mississippi,East Shannonburgh,72638,1-9826-7359-1
Beer,Pepsi,Alcoholic,376,8557,4365,4192,9/5/2022,Raymond Hudson,Alabama,East Charlesberg,68044,0-350-70456-2
Wine,Pepsi,Alcoholic,786,9349,3938,5411,9/29/2021,Linda Smith,Minnesota,North Christina,59721,1-02-711576-4
Wine,Coca-Cola,Alcoholic,907,7252,5897,1355,10/30/2021,Leah Roy,Louisiana,Lake Erin,8465,1-289-00909-0
Black Tea,Coca-Cola,Tea,671,8533,3667,4866,8/19/2020,Chloe Hopkins,Ohio,Thomasborough,57705,1-328-20922-9
Energy Drink,Pepsi,Soft Drink,848,2712,652,2060,3/7/2020,Mary Pope,Oklahoma,South Lisaton,39695,1-214-61663-1
Black Tea,Coca-Cola,Tea,261,7376,5982,1394,9/9/2021,David Anderson,Ohio,Thomasberg,59852,1-09-707688-1
Coffee,Coca-Cola,Coffee,233,6192,1220,4972,5/11/2023,Brittany Ayala,Massachusetts,Brittanyburgh,83003,0-221-67325-3
Energy Drink,Dr. Pepper,Soft Drink,446,7834,5152,2682,7/25/2022,Elizabeth Hardy,Rhode Island,Reynoldston,55114,0-618-02248-1
Beer,Dr. Pepper,Alcoholic,484,1078,2761,-1683,7/7/2023,Dr. Dawn Mendoza,New York,Stevenstown,85700,0-9702844-1-1
Beer,Coca-Cola,Alcoholic,208,7167,6518,649,6/20/2023,David Cantrell,Kentucky,Wallacehaven,8635,0-7961-6161-5
Energy Drink,Dr. Pepper,Soft Drink,262,4536,1973,2563,3/27/2022,Amanda Smith,Maryland,North Elizabethtown,13563,1-320-97040-0
Vodka,Coca-Cola,Alcoholic,990,8064,1076,6988,10/5/2022,Christopher Novak,Arizona,West James,68050,0-912413-49-2
Green Tea,Pepsi,Tea,663,8496,3793,4703,8/11/2020,Keith Wilcox,Nebraska,North Daniel,97743,0-626-51314-6
Herbal Tea,Dr. Pepper,Tea,782,5432,1189,4243,10/23/2020,James Williams,Georgia,East Jenniferberg,99566,1-85386-075-1
Green Tea,Dr. Pepper,Tea,999,6379,6299,80,6/20/2022,Alexandra Rogers,Hawaii,New Gregory,89010,0-490-22748-1
Wine,Pepsi,Alcoholic,194,8205,4503,3702,4/8/2022,Jeremy Guerrero,Pennsylvania,Grosstown,98911,1-01-583578-3
Energy Drink,Dr. Pepper,Soft Drink,170,7749,1532,6217,3/29/2021,David White,Connecticut,Jeffreyhaven,1619,1-5011-1680-0
Lemonade,Pepsi,Soft Drink,881,1400,7055,-5655,1/13/2021,Mark Alvarez,Kentucky,South Sharonshire,2873,1-01-450742-1
Coffee,Coca-Cola,Coffee,741,2961,2708,253,7/4/2022,William Parsons,Kansas,Lake Melissaburgh,97869,1-4202-0917-5
Green Tea,Pepsi,Tea,304,1321,611,710,3/16/2022,Jeffrey Schmidt,Maryland,East Cory,84253,1-202-80015-7
Vodka,Coca-Cola,Alcoholic,463,4982,7049,-2067,5/10/2020,Lindsey Huff,West Virginia,Lake Crystal,98420,0-03-624345-0
Coffee,Coca-Cola,Coffee,381,9348,3791,5557,10/20/2022,Bryan Lin,Montana,Dylanstad,35629,0-933251-50-5
Energy Drink,Dr. Pepper,Soft Drink,911,4678,4116,562,6/25/2022,Nicole Le,New York,Sandrafurt,80398,1-71006-978-3
Green Tea,Dr. Pepper,Tea,967,1457,3018,-1561,5/3/2021,Karla Garcia,Nebraska,East Nicholas,21270,1-917592-72-8
Beer,Coca-Cola,Alcoholic,187,2015,531,1484,2/5/2021,James Short,Illinois,Marychester,78791,0-9648585-5-X
Vodka,Pepsi,Alcoholic,344,4439,7073,-2634,5/23/2020,Michelle Johnson,Texas,West Margaretborough,67013,0-633-48737-6
Lemonade,Dr. Pepper,Soft Drink,240,5573,3189,2384,2/20/2021,Sara Boyd,Tennessee,Audreystad,83674,0-03-741700-2
Herbal Tea,Pepsi,Tea,763,9441,1845,7596,9/30/2021,Tracy Turner,Nevada,Johnside,54538,0-00-612209-4
Wine,Pepsi,Alcoholic,271,2889,7678,-4789,11/12/2022,Christina Hayes,South Carolina,East Ann,58792,1-80541-470-4
Green Tea,Pepsi,Tea,802,1699,7871,-6172,1/12/2023,Kyle Smith,California,Port Travis,20019,1-101-92102-1
Green Tea,Coca-Cola,Tea,561,7778,4679,3099,3/19/2023,Thomas Sanders,Montana,New Robert,96739,1-80009-227-X
Wine,Coca-Cola,Alcoholic,147,1306,5203,-3897,9/4/2021,Ann Davis,Kansas,Thomasland,18812,1-348-48696-1
Vodka,Dr. Pepper,Alcoholic,145,4988,3722,1266,3/3/2021,Connie Williams,Alabama,South Melissa,20017,1-60251-568-9
Beer,Coca-Cola,Alcoholic,669,4560,4827,-267,12/25/2022,Jacob Edwards,Connecticut,Hicksstad,26082,0-668-94253-3
Green Tea,Coca-Cola,Tea,746,1657,7570,-5913,6/4/2023,Christopher Perkins,Colorado,Robertburgh,41534,0-06-986349-0
Black Tea,Pepsi,Tea,942,6963,2793,4170,2/25/2023,David Mercer,Rhode Island,New Geraldtown,72657,1-5479-6346-8
Beer,Dr. Pepper,Alcoholic,886,4112,4648,-536,2/12/2021,Andrew Martinez,Ohio,North Justinburgh,73175,1-69169-626-9
Vodka,Pepsi,Alcoholic,874,5561,4964,597,9/5/2021,Bridget Griffin,Kansas,Port Michaelfurt,48945,1-5226-5714-2
Beer,Dr. Pepper,Alcoholic,207,4832,7781,-2949,8/6/2020,Miranda Holland,Minnesota,Lake Territown,82567,0-490-83291-1
Black Tea,Dr. Pepper,Tea,319,6642,1387,5255,8/30/2020,Kevin Wilson,Connecticut,North Aprilside,82733,1-282-03560-6
Vodka,Pepsi,Alcoholic,923,3021,7368,-4347,11/12/2021,Juan Morris,New Mexico,East Dawn,2536,1-921323-35-3
Vodka,Dr. Pepper,Alcoholic,978,7662,3350,4312,6/10/2021,Christopher Murillo,Kansas,North Thomasmouth,71107,1-915740-41-X
Herbal Tea,Dr. Pepper,Tea,101,2610,3461,-851,7/11/2020,Dylan Nelson,Arkansas,North Cindystad,73079,0-7706-8544-7
Beer,Coca-Cola,Alcoholic,498,4626,4643,-17,5/11/2021,Anthony Lopez,Hawaii,South Connieborough,54640,0-7642-5910-5
Lemonade,Dr. Pepper,Soft Drink,480,6581,5952,629,7/14/2023,Randy Jensen MD,Maine,Johnsonburgh,12476,1-56706-450-7
Coffee,Coca-Cola,Coffee,540,1697,1144,553,3/14/2020,Kristine Johnson,Kansas,Edwardsborough,19707,0-15-663159-8
Herbal Tea,Dr. Pepper,Tea,580,3723,4464,-741,4/12/2021,Rebecca Martinez,Maryland,Craigfort,7123,1-243-18722-0
Coffee,Dr. Pepper,Coffee,735,6818,1300,5518,2/27/2021,Chase Curry,Wyoming,Kevinhaven,56474,0-507-47436-8
Wine,Dr. Pepper,Alcoholic,918,6537,1316,5221,6/16/2020,Alicia Davidson,Kansas,North Robert,3606,1-924693-25-9
Lemonade,Dr. Pepper,Soft Drink,954,4784,6650,-1866,7/19/2022,Willie Schmidt,Montana,Morganfurt,41914,1-163-39439-4
Energy Drink,Pepsi,Soft Drink,445,5255,7897,-2642,5/24/2023,Donna Hartman,Alabama,New Steven,64321,0-03-196358-7
Coffee,Coca-Cola,Coffee,197,4554,5361,-807,6/15/2020,Tiffany Curtis,Indiana,Jacksonland,29423,0-622-64108-5
Energy Drink,Coca-Cola,Soft Drink,373,7141,3937,3204,6/19/2022,Chase Freeman,North Carolina,Rickeyberg,84321,1-5322-3467-8
Herbal Tea,Dr. Pepper,Tea,744,7374,4156,3218,9/2/2020,William Barnes,South Carolina,Scottview,57452,0-925565-37-7
Coffee,Dr. Pepper,Coffee,538,1548,2947,-1399,2/5/2022,Daniel Baker,Kansas,South Cathy,98298,1-4093-4452-5
Herbal Tea,Dr. Pepper,Tea,143,3839,4078,-239,2/24/2020,Alexander Daniels,Montana,Rivasborough,25183,1-918610-29-0
Energy Drink,Coca-Cola,Soft Drink,196,7649,2579,5070,5/7/2023,Beth Montgomery,Maryland,Kevinborough,96893,0-13-770874-2
Black Tea,Pepsi,Tea,406,6493,2094,4399,7/19/2022,Logan Jimenez,Hawaii,West Kathleen,60465,0-533-97195-0
Cola,Dr. Pepper,Soft Drink,226,1545,1115,430,11/15/2020,Samantha Juarez,Nebraska,Jessicaport,42434,1-85053-603-1
Energy Drink,Dr. Pepper,Soft Drink,876,5903,1376,4527,1/25/2022,Joshua Taylor,Montana,West Shannonview,99656,0-7416-5541-1
Beer,Coca-Cola,Alcoholic,825,2761,1317,1444,1/12/2023,Monique Schultz,Alabama,Contrerasberg,39168,1-5173-7989-X
Vodka,Dr. Pepper,Alcoholic,799,6837,4684,2153,1/26/2023,Rodney Rasmussen,Idaho,Ruizville,47403,1-78769-292-2
Coffee,Coca-Cola,Coffee,101,8179,6199,1980,3/30/2023,Christopher Smith,Mississippi,Lake Connie,59426,1-4313-9641-9
